# MHEC VC Stress-Strain Data: mode ortho (target C11-C12)
# Units: strain (dimensionless), stress change (kBar), baseline subtracted
strain	ds1_xx	ds2_yy	ds3_zz	ds4_yz	ds5_xz	ds6_xy
-3.000000e-02	2.697169e+02	-2.742472e+02	1.470069e+01	-7.612860e-03	-2.873899e-02	3.427543e-02
-2.000000e-02	1.816989e+02	-1.834449e+02	6.861708e+00	-8.840561e-03	-5.019304e-02	-3.872051e-02
-1.000000e-02	9.158526e+01	-9.181116e+01	1.798743e+00	2.373317e-03	-2.897289e-02	6.366102e-03
1.000000e-02	-9.183087e+01	9.162678e+01	1.848852e+00	-2.762528e-03	-6.866630e-02	4.533460e-03
2.000000e-02	-1.835121e+02	1.817219e+02	6.812613e+00	-5.470068e-03	-6.009771e-02	1.350320e-02
3.000000e-02	-2.742441e+02	2.696878e+02	1.471547e+01	3.277333e-02	-5.740118e-03	-3.206112e-03
