# MHEC VC Stress-Strain Data: mode shear_yz (target C44)
# Units: strain (dimensionless), stress change (kBar), baseline subtracted
strain	ds1_xx	ds2_yy	ds3_zz	ds4_yz	ds5_xz	ds6_xy
-3.000000e-02	-2.725140e+00	2.314916e+01	2.312037e+01	3.284733e+02	-1.013493e-02	-2.234624e-02
-2.000000e-02	-1.127453e+00	1.060579e+01	1.062738e+01	2.186782e+02	-5.275321e-02	1.121706e-02
-1.000000e-02	-1.615514e-01	2.956548e+00	2.966035e+00	1.094210e+02	-3.511042e-02	-3.231866e-03
1.000000e-02	-2.005127e-01	2.933751e+00	2.941747e+00	-1.094228e+02	-4.807021e-02	6.332031e-03
2.000000e-02	-1.153532e+00	1.064188e+01	1.064528e+01	-2.186730e+02	-5.524789e-02	1.619742e-02
3.000000e-02	-2.627241e+00	2.322241e+01	2.319187e+01	-3.284454e+02	-3.471777e-02	8.855039e-03
